URL,Type,"Blog Category","Translation Source"
/content/fireeye-www/de_DE/blog/de-threat-research/2020/02/mtrends-2020-insights-from-the-front-lines.html,blog,"threat research",/2020/02/mtrends-2020-insights-from-the-front-lines.html
/content/fireeye-www/de_DE/blog/de-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/de_DE/blog/de-threat-research/2020/02/ransomware-against-machine-learning-to-disrupt-industrial-production.html,blog,"threat research",/2020/02/ransomware-against-machine-learning-to-disrupt-industrial-production.html
/content/fireeye-www/de_DE/blog/de-threat-research/2020/10/ransomware-protection-and-containment-strategies.html,blog,"threat research",/2019/09/ransomware-protection-and-containment-strategies.html
/content/fireeye-www/de_DE/blog/de-threat-research/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html,blog,"threat research",/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html
/content/fireeye-www/de_DE/blog/de-threat-research/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html,blog,"threat research",/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html
/content/fireeye-www/de_DE/blog/de-threat-research/2021/05/increasing-low-sophistication-operational-technology-compromises.html,blog,"threat research",/2021/05/increasing-low-sophistication-operational-technology-compromises.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/02/mtrends-2020-insights-from-the-front-lines.html,blog,"threat research",/2020/02/mtrends-2020-insights-from-the-front-lines.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/02/ransomware-against-machine-learning-to-disrupt-industrial-production.html,blog,"threat research",/2020/02/ransomware-against-machine-learning-to-disrupt-industrial-production.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html,blog,"threat research",/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html,blog,"threat research",/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html,blog,"threat research",/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/saigon-mysterious-ursnif-fork.html,blog,"threat research",/2020/01/saigon-mysterious-ursnif-fork.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/vigilante-deploying-mitigation-for-citrix-netscaler-vulnerability-while-maintaining-backdoor.html,blog,"threat research",/2020/01/vigilante-deploying-mitigation-for-citrix-netscaler-vulnerability-while-maintaining-backdoor.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/nice-try-501-ransomware-not-implemented.html,blog,"threat research",/2020/01/nice-try-501-ransomware-not-implemented.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/abusing-dll-misconfigurations.html,blog,"threat research",/2020/01/abusing-dll-misconfigurations.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/02/managed-defense-the-analytical-mindset.html,blog,"threat research",/2020/02/managed-defense-the-analytical-mindset.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/02/mtrends-2020-insights-from-the-front-lines.html,blog,"threat research",/2020/02/mtrends-2020-insights-from-the-front-lines.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html,blog,"threat research",/2020/03/apt41-initiates-global-intrusion-campaign-using-multiple-exploits.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/they-come-in-the-night-ransomware-deployment-trends.html,blog,"threat research",/2020/03/they-come-in-the-night-ransomware-deployment-trends.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/the-cycle-of-adversary-pursuit.html,blog,"threat research",/2020/03/the-cycle-of-adversary-pursuit.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/stimulus-bill-social-engineering-covid-19-financial-compensation-schemes.html,blog,"threat research",/2020/03/stimulus-bill-social-engineering-covid-19-financial-compensation-schemes.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/kerberos-tickets-on-linux-red-teams.html,blog,"threat research",/2020/04/kerberos-tickets-on-linux-red-teams.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/limited-shifts-in-cyber-threat-landscape-driven-by-covid-19.html,blog,"threat research",/2020/04/limited-shifts-in-cyber-threat-landscape-driven-by-covid-19.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/improving-dynamic-malware-analysis-with-cheat-codes-for-fakenet-ng.html,blog,"threat research",/2020/04/improving-dynamic-malware-analysis-with-cheat-codes-for-fakenet-ng.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/apt32-targeting-chinese-government-in-covid-19-related-espionage.html,blog,"threat research",/2020/04/apt32-targeting-chinese-government-in-covid-19-related-espionage.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/zero-day-exploitation-demonstrates-access-to-money-not-skill.html,blog,"threat research",/2020/04/zero-day-exploitation-demonstrates-access-to-money-not-skill.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html,blog,"threat research",/2020/05/tactics-techniques-procedures-associated-with-maze-ransomware-incidents.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/05/using-real-time-events-in-investigations.html,blog,"threat research",/2020/05/using-real-time-events-in-investigations.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/05/analyzing-dark-crystal-rat-backdoor.html,blog,"threat research",/2020/05/analyzing-dark-crystal-rat-backdoor.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/07/configuring-windows-domain-dynamically-analyze-obfuscated-lateral-movement-tool.html,blog,"threat research",/2020/07/configuring-windows-domain-dynamically-analyze-obfuscated-lateral-movement-tool.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/07/scandalous-external-detection-using-network-scan-data-and-automation.html,blog,"threat research",/2020/07/scandalous-external-detection-using-network-scan-data-and-automation.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/07/insights-into-office-365-attacks-and-how-managed-defense-investigates.html,blog,"threat research",/2020/07/insights-into-office-365-attacks-and-how-managed-defense-investigates.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/08/repurposing-neural-networks-to-generate-synthetic-media-for-information-operations.html,blog,"threat research",/2020/08/repurposing-neural-networks-to-generate-synthetic-media-for-information-operations.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/08/bypassing-masslogger-anti-analysis-man-in-the-middle-approach.html,blog,"threat research",/2020/08/bypassing-masslogger-anti-analysis-man-in-the-middle-approach.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/08/cookiejar-tracking-adversaries-with-fireeye-endpoint-security-module.html,blog,"threat research",/2020/08/cookiejar-tracking-adversaries-with-fireeye-endpoint-security-module.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/08/emulation-of-malicious-shellcode-with-speakeasy.html,blog,"threat research",/2020/08/emulation-of-malicious-shellcode-with-speakeasy.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/09/detecting-microsoft-365-azure-active-directory-backdoors.html,blog,"threat research",/2020/09/detecting-microsoft-365-azure-active-directory-backdoors.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/10/fin11-email-campaigns-precursor-for-ransomware-data-theft.html,blog,"threat research",/2020/10/fin11-email-campaigns-precursor-for-ransomware-data-theft.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/10/kegtap-and-singlemalt-with-a-ransomware-chaser.html,blog,"threat research",/2020/10/kegtap-and-singlemalt-with-a-ransomware-chaser.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/12/unauthorized-access-of-fireeye-red-team-tools.html,blog,"threat research",/2020/12/unauthorized-access-of-fireeye-red-team-tools.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html,blog,"threat research",/2020/12/evasive-attacker-leverages-solarwinds-supply-chain-compromises-with-sunburst-backdoor.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/12/sunburst-additional-technical-details.html,blog,"threat research",/2020/12/sunburst-additional-technical-details.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/01/remediation-and-hardening-strategies-for-microsoft-365-to-defend-against-unc2452.html,blog,"threat research",/2021/01/remediation-and-hardening-strategies-for-microsoft-365-to-defend-against-unc2452.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/01/emulation-of-kernel-mode-rootkits-with-speakeasy.html,blog,"threat research",/2021/01/emulation-of-kernel-mode-rootkits-with-speakeasy.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/01/training-transformers-for-cyber-security-tasks-malicious-url-prediction.html,blog,"threat research",/2021/01/training-transformers-for-cyber-security-tasks-malicious-url-prediction.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/01/phishing-campaign-woff-obfuscation-telegram-communications.html,blog,"threat research",/2021/01/phishing-campaign-woff-obfuscation-telegram-communications.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/02/solarcity-exploitation-of-x2e-iot-device-part-one.html,blog,"threat research",/2021/02/solarcity-exploitation-of-x2e-iot-device-part-one.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/02/solarcity-exploitation-of-x2e-iot-device-part-two.html,blog,"threat research",/2021/02/solarcity-exploitation-of-x2e-iot-device-part-two.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html,blog,"threat research",/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/02/melting-unc2198-icedid-to-ransomware-operations.html,blog,"threat research",/2021/02/melting-unc2198-icedid-to-ransomware-operations.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html,blog,"threat research",/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/03/fuzzing-image-parsing-in-windows-uninitialized-memory.html,blog,"threat research",/2021/03/fuzzing-image-parsing-in-windows-uninitialized-memory.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/03/sunshuttle-second-stage-backdoor-targeting-us-based-entity.html,blog,"threat research",/2021/03/sunshuttle-second-stage-backdoor-targeting-us-based-entity.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/03/attacker-use-of-windows-background-intelligent-transfer-service.html,blog,"threat research",/2021/03/attacker-use-of-windows-background-intelligent-transfer-service.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/04/suspected-apt-actors-leverage-bypass-techniques-pulse-secure-zero-day.html,blog,"threat research",/2021/04/suspected-apt-actors-leverage-bypass-techniques-pulse-secure-zero-day.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/04/zero-day-exploits-in-sonicwall-email-security-lead-to-compromise.html,blog,"threat research",/2021/04/zero-day-exploits-in-sonicwall-email-security-lead-to-compromise.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/04/abusing-replication-stealing-adfs-secrets-over-the-network.html,blog,"threat research",/2021/04/abusing-replication-stealing-adfs-secrets-over-the-network.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/04/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity.html,blog,"threat research",/2021/04/espionage-group-unc1151-likely-conducts-ghostwriter-influence-activity.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/04/unc2447-sombrat-and-fivehands-ransomware-sophisticated-financial-threat.html,blog,"threat research",/2021/04/unc2447-sombrat-and-fivehands-ransomware-sophisticated-financial-threat.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/04/m-trends-2021-a-view-from-the-front-lines.html,blog,"threat research",/2021/04/m-trends-2021-a-view-from-the-front-lines.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/05/shining-a-light-on-darkside-ransomware-operations.html,blog,"threat research",/2021/05/shining-a-light-on-darkside-ransomware-operations.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/05/unc2529-triple-double-trifecta-phishing-campaign.html,blog,"threat research",/2021/05/unc2529-triple-double-trifecta-phishing-campaign.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2021/05/updates-on-chinese-apt-compromising-pulse-secure-vpn-devices.html,blog,"threat research",/2021/05/updates-on-chinese-apt-compromising-pulse-secure-vpn-devices.html
/content/fireeye-www/ko_KR/blog/kr-threat-research/2021/01/sunburst-additional-technical-details.html,blog,"threat research",/2021/01/sunburst-additional-technical-details.html
/content/fireeye-www/ko_KR/blog/kr-threat-research/2021/01/remediation-and-hardening-strategies-for-microsoft-365-to-defend-against-unc2452.html,blog,"threat research",/2021/01/remediation-and-hardening-strategies-for-microsoft-365-to-defend-against-unc2452.html
/content/fireeye-www/ko_KR/blog/kr-threat-research/2021/01/reputable-industrial-gas-companys-mandiant-expertise-on-demand-utilization.html,blog,"threat research",/2021/01/reputable-industrial-gas-companys-mandiant-expertise-on-demand-utilization.html
/content/fireeye-www/ko_KR/blog/kr-threat-research/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html,blog,"threat research",/2021/02/accellion-fta-exploited-for-data-theft-and-extortion.html
/content/fireeye-www/ko_KR/blog/kr-threat-research/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html,blog,"threat research",/2021/03/detection-response-to-exploitation-of-microsoft-exchange-zero-day-vulnerabilities.html
/content/fireeye-www/de_DE/blog/de-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/fr_FR/blog/fr-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/01/nice-try-501-ransomware-not-implemented.html,blog,"threat research",/2020/01/nice-try-501-ransomware-not-implemented.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html,blog,"threat research",/2020/02/information-operations-fabricated-personas-to-promote-iranian-interests.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/02/managed-defense-the-analytical-mindset.html,blog,"threat research",/2020/02/managed-defense-the-analytical-mindset.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/03/stimulus-bill-social-engineering-covid-19-financial-compensation-schemes.html,blog,"threat research",/2020/03/stimulus-bill-social-engineering-covid-19-financial-compensation-schemes.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/04/limited-shifts-in-cyber-threat-landscape-driven-by-covid-19.html,blog,"threat research",/2020/04/limited-shifts-in-cyber-threat-landscape-driven-by-covid-19.html
/content/fireeye-www/ja_JP/blog/jp-threat-research/2020/07/configuring-windows-domain-dynamically-analyze-obfuscated-lateral-movement-tool.html,blog,"threat research",/2020/07/configuring-windows-domain-dynamically-analyze-obfuscated-lateral-movement-tool.html
